2026-05-20 11:18:22,063 - INFO - 金价监控启动，检查间隔 10 分钟，超时 30 分钟
2026-05-20 12:46:13,997 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:46:44,246 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:47:14,532 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:47:44,771 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:48:15,016 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:48:45,315 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:49:15,572 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:49:45,875 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:50:46,341 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:51:16,606 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:51:46,884 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:52:17,145 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:52:47,413 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:53:17,654 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:53:47,939 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:53:47,940 - INFO - 当前金价: 998.07元, 基准价(早盘价): 999.72元, 涨跌: -0.17%
2026-05-20 12:53:48,172 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:54:18,449 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:54:48,680 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:55:18,956 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:55:49,217 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:56:19,502 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:56:49,785 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:57:20,049 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:57:50,352 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:58:20,587 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:58:50,829 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:59:21,104 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 12:59:51,424 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 13:00:21,686 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 13:00:52,019 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 13:01:22,334 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 13:01:52,650 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
